Informant,State,Informant number,Response
TN001,TN,1,screened-in porch 
TN002,TN,2,screened-in porch 
TN003,TN,3,screened-in porch 
TN004,TN,4,-
TN005,TN,5,screened-in porch 
TN005,TN,5,screened-in side porch 
TN006,TN,6,screened-in porch 
TN007,TN,7,middle porch 
TN007,TN,7,screened-in porch 
TN008,TN,8,screened-in porch 
TN009,TN,9,gallery 
TN009,TN,9,screened-in porch 
TN009,TN,9,screened-in side porch 
TN010,TN,10,screened-in porch 
TN011,TN,11,screened-in porch 
TN012,TN,12,screened-in porch 
TN013,TN,13,back porch 
TN013,TN,13,gallery 
TN013,TN,13,screened-in porch 
TN014,TN,14,screened-in porch 
TN014,TN,14,dv
TN015,TN,15,screened-in porch 
TN015,TN,15,walk-out porch 
TN015,TN,15,dv
TN016,TN,16,balcony 
TN016,TN,16,screened-in porch 
TN016,TN,16,walk-out porch 
TN017,TN,17,screened-in porch 
TN018,TN,18,screened-in porch 
TN019,TN,19,screened-in porch 
TN020,TN,20,screened-in porch 
TN021,TN,21,screened-in porch 
TN022,TN,22,back porch 
TN022,TN,22,screened-in porch 
TN022,TN,22,walk-out porch 
TN022,TN,22,dv
TN023,TN,23,middle porch 
TN023,TN,23,screened-in porch 
TN024,TN,24,screened-in porch 
TN024,TN,24,screened-in side porch 
TN025,TN,25,screened-in porch 
TN026,TN,26,back porch 
TN026,TN,26,screened-in porch 
TN027,TN,27,screened-in porch 
TN027,TN,27,walk-out porch 
TN027,TN,27,dv
TN028,TN,28,back porch 
TN028,TN,28,balcony 
TN028,TN,28,gallery 
TN029,TN,29,back porch 
TN029,TN,29,gallery 
TN029,TN,29,screened-in porch 
TN030,TN,30,screened-in porch 
TN031,TN,31,screened-in porch 
TN032,TN,32,back porch 
TN032,TN,32,balcony 
TN032,TN,32,gallery 
TN033,TN,33,screened-in porch 
TN034,TN,34,back porch 
TN034,TN,34,gallery 
TN035,TN,35,screened-in porch 
TN035,TN,35,walk-out porch 
TN035,TN,35,dv
TN036,TN,36,middle porch 
TN036,TN,36,screened-in porch 
TN037,TN,37,gallery 
TN037,TN,37,up-and-down back porch 
TN038,TN,38,back porch 
TN038,TN,38,gallery 
TN039,TN,39,balcony 
TN039,TN,39,screened-in porch 
TN040,TN,40,screened-in porch 
TN040,TN,40,up-and-down back porch 
TN041,TN,41,gallery 
TN042,TN,42,screened-in porch 
TN043,TN,43,back porch 
TN043,TN,43,gallery 
TN043,TN,43,screened-in porch 
TN044,TN,44,middle porch 
TN044,TN,44,screened-in porch 
TN044,TN,44,screened-in side porch 
TN045,TN,45,back porch 
TN045,TN,45,doorstep 
TN045,TN,45,gallery 
TN045,TN,45,piazza 
TN045,TN,45,screened-in porch 
TN046,TN,46,screened-in porch 
TN047,TN,47,screened-in porch 
TN048,TN,48,screened-in porch 
TN049,TN,49,screened-in porch 
TN050,TN,50,back porch 
TN050,TN,50,screened-in porch 
TN050,TN,50,walk-out porch 
TN050,TN,50,dt
TN051,TN,51,gallery 
TN052,TN,52,0
TN053,TN,53,back porch 
TN053,TN,53,gallery 
TN053,TN,53,screened-in porch 
TN054,TN,54,screened-in porch 
TN055,TN,55,gallery 
TN055,TN,55,screened-in porch 
TN056,TN,56,screened-in porch 
TN056,TN,56,dg
TN057,TN,57,back porch 
TN057,TN,57,balcony 
TN057,TN,57,double gallery 
TN057,TN,57,screened-in porch 
TN058,TN,58,back porch 
TN058,TN,58,balcony 
TN058,TN,58,gallery 
TN058,TN,58,walk-out porch 
TN059,TN,59,back porch 
TN059,TN,59,gallery 
TN060,TN,60,back porch 
TN060,TN,60,gallery 
GA061,GA,61,gallery 
GA061,GA,61,screened-in porch 
GA061,GA,61,dp
GA062,GA,62,gallery 
GA062,GA,62,screened-in porch 
GA063,GA,63,downstairs porch 
GA063,GA,63,screened porch 
GA063,GA,63,screened-in back porch 
GA063,GA,63,screened-in front porch 
GA064,GA,64,screened-in porch 
GA065,GA,65,-
GA066,GA,66,screened-in porch 
GA066,GA,66,dt
GA067,GA,67,outdoor sitting room 
GA067,GA,67,screened-in porch 
GA067,GA,67,wraparound porch 
GA068,GA,68,screened-in porch 
GA069,GA,69,gallery 
