Informant,porch 10.7,Comments,
NY1,piazza,,
NY1,porch,,
NY1,stoop,,
NY2A,piazza,,
NY2A,stoop,,
NY2B,porch,,
NY2B,veranda,,
NY2B,piazza,,
NY2B,stoop,,
NY2C,porch,,
NY2C,piazza,,
NY2C,stoop,,
NY2C,platform,,
NY2C,veranda,,
NY3A,stoop,,
NY3A,porch,,
NY3A,piazza,larger [than stoop],
NY3B,porch,,
NY3B,piazza,large,
NY3B,stoop,,
NY3C,porch,,
NY3C,stoop,,
NY3D,porch,,
NY3D,piazza,wider [than porch],
NY3D,stoop,small,
NY4A,stoop,,
NY4A,piazza,wide,
NY4B,porch,,
NY4B,stoop,,
NY4C,porch,,
NY4C,stoop,,
NY5A,stoop,never `porch',
NY5B,porch,,
NY5B,stoop,,
NY5C,stoop,,
NY5C,porch,wide,
NY5D,porch,,
NY5D,stoop,small,
NY5E,porch,,
NY5E,stoop,small,
NY5F,porch,,
NY5F,stoop,,
NY5G,porch,roof,
NY5G,stoop,small,
NY5H!,porch,,
NY5H!,piazza,,
NY5H!,stoop,small,
NY5I!,porch,,
NY5I!,stoop,"small, enclosed",
NY6A,porch,,
NY6A,stoop,,
NY6B,porch,,
NY7A,porch,wide,
NY7A,stoop,,
NY7B,stoop,,
NY7B,porch,wide,
NY7C,stoop,,
NY7C,porch,,
NY7D,stoop,,
NY7D,porch,,
NY7E,stoop,,
NY7E,veranda,wide,
NY7E,porch,wide,
NY7F,stoop,,
NY7F,porch,wide,
NY7G,stoop,,
NY7G,porch,wide,
NY7H,porch,,
NY7H,stoop,small,
NY7H,veranda,large,
NY7I,porch,,
NY7I,stoop,small,
NY7J!,stoop,,
NY7J!,piazza,"rare, wider [than stoop]",
NY7K!,stoop,,
NY7K!,porch,wider [than stoop],
NY7K!,piazza,,
NY7L!,stoop,"low, small",
NY7L!,porch,"rare, smallish",
NY7L!,piazza,,
NY7M!,stoop,small,
NY7M!,piazza,wide; traditional term until lately,
NY7M!,porch,,
NY8,porch,,
NY8,stoop,,
NY9A,porch,,
NY9A,stoop,,
NY9A,stoop,father [said],
NY9B,stoop,,
NY9B,piazza,larger [than stoop],
NY9C,piazza,,
NY9C,stoop,small,
NY10A,stoop,,
NY10A,porch,larger [than stoop],
NY10B!,porch,,
NY10B!,piazza,,
NY10B!,stoop,mostly as a child,
NY11,porch,,
NY12A,porch,,
NY12A,stoop,natural,
NY12A,stoop,,
NY12A,porch,unfamiliar,
NY12A,piazza,long,
NY12B,porch,,
NY12B,stoop,,
NY12C!,stoop,small,
NY12C!,veranda,large,
NY12C!,porch,either [`porch' or `veranda'],
NY13A,piazza,,
NY13A,stoop,,
NY13B!,stoop,"long, wide roof",
NY13B!,porch,,
NY14A,porch,,
NY14A,stoop,"especially small, old-fashioned kind",
NY14B,porch,,
NY14B,piazza,rare,
NY14B,stoop,more used formerly,
NY15A,stoop,,
NY15A,veranda,large,
NY15A,porch,,
NY15B,porch,,
NY16A,piazza,,
NY16A,stoop,usually,
NY16B,stoop,,
NY16B,porch,,
NY17A,piazza,open,
NY17A,porch,,
NY17A,porch,smaller [than piazza],
NY17A,stoop,no roof,
NY17A,stoop,"enclosed, at back",
NY17A,piazza,usually,
NY17B,porch,side,
NY17B,stoop,no roof,
NY17B,piazza,wide front,
NY18A,stoop,,
NY18A,piazza,more `higher-up-in-the-world' word,
NY18B,porch,,
NY18B,stoop,,
NY18C!,stoop,as a child,
NY18C!,porch,,
NY18C!,piazza,larger [than porch],
NY18C!,steps,small,
NY18C!,veranda,very large; rare,
NY19,porch,,
NY20A,porch,,
NY20A,stoop,,
NY20B,porch,,
NY21,piazza,,
NY21,porch,,
NY21,stoop,built-in room at kitchen door (= summer kitchen),
NY22,stoop,,
NY22,porch,,
NY23A,stoop,,
NY23A,porch,,
NY23B,stoop,"= ""step”",
NY23B,piazza,,
NY23B,porch,,
NY23B,step,,
NY23B,lean-to,,
NY23C,stoop,,
NY23C,piazza,,
NY23C,piazza,,
NY23C,porch,,
NY24A,porch,,
NY24A,stoop,,
NY24A,piazza,wide,
NY24B!,piazza,,
NY24B!,stoop,,
NY25A,porch,,
NY25A,outside porch,,
NY25A,stoops,smaller [than porch],
NY25A,piazza,,
NY25A,veranda,,
NY25B,porch,,
NY25B,stoop,,
NY25B,piazza,,
NY26A,porch,,
NY26A,stoop,,
NY26A,veranda,,
NY26B,porch,,
NY26B,porch,,
NY26B,stoop,,
NY26C,porch,"""cupola”",
NY26C,side porch,"""cupola”",
NY26C,stoops,"""always used to be”",
NY27A,porches,,
NY27A,stoop,,
NY27B,porch,,
NY27B,stoop,,
NY27C,piazza,,
NY27C,porch,,
NY27C,stoop,,
NY28A,piazzas,spontaneous first response,
NY28A,porch,,
NY28A,stoop,"""pa's phrase”",
NY28B,steps,small,
NY28B,piazza,,
NY28B,piazza,,
NY28B,piazza,,
NY28C,stoop,,
NY28C,front stoop,,
NY28C,screen porch,,
NY28C,platform,old house,
NY28C,steps,old house,
NY28C,porch,,
NY28C,back stoop,,
NY29A,steps,,
NY29A,stoop,,
NY29A,piazzas,not common,
NY29A,entry,,
NY29B,porch,,
NY29B,back porch,,
NY29B,stoop,no porch--just steps,
NY29C,storm houses,enclosed,
NY29C,porch,,
NY29C,piazza,,
NY29C,back stoop,,
NY29C,stoop,,
NY29C,steps,,
NY30A,porch,on front,
NY30B,piazza,long; front or back,
NY30B,piazza,long; front or back,
NY30B,back porch,,
NY30C,a steps,,
NY30C,porch,,
NY30C,piazza,new house,
NY30D,piazza,,
NY30D,piazza,,
NY30E,piazza,,
NY30E,portico,"""after you're getting on”",
NY30E,stoop,,
NY31A,porch,,
NY31A,porch,,
NY31A,stoop,on farm,
NY31B,steps,,
NY31B,stoop,,
NY31B,piazza,,
NY31B,front porch,,
NY31B,porch,,
NY32A,porch,,
NY32A,veranda,,
NY32A,stoop,,
NY32B,steps,,
NY32B,piazza,,
NY33A,veranda,"large, at front",
NY33A,porch,"large, at front",
NY33A,back porch,same [as back stoop],
NY33A,back stoop,same [as back porch],
NY33B,porch,,
NY33B,veranda,,
NY33B,back stoop,,
NY33C,front porch,,
NY33C,veranda,,
NY33C,stoop,smaller [than veranda],
NY34A,porch,,
NY34A,a stone steps,at back door,
NY34A,stoop,= porch,
NY34A,porch,,
NY34B,veranda,,
NY34B,porch,,
NY34B,side steps,,
NY34C,piazza,,
NY34C,porch,,
NY34D!,porch,side,
NY34D!,porch,side,
NY34D!,piazza,,
NY35A,porch,,
NY35A,stoop,,
NY35B,porch,,
NY35B,veranda,long,
NY35B,stoop,,
NY35C!,porch,,
NY35C!,veranda,wide,
NY35C!,stoop,small,
NY36A,porch,,
NY36A,stoop,,
NY36A,piazza,fancier [than stoop],
NY36B,porch,,
NY36B,stoop,,
NY37A,porch,,
NY37A,piazza,,
NY37A,stoop,small,
NY37B,porch,,
NY37C!,porch,,
NY37C!,stoop,,
NY37C!,veranda,larger [than stoop],
NY38A,veranda,large; rare,
NY38A,stoop,closed in,
NY38A,porch,open,
NY38A,piazza,,
NY38B,piazza,,
NY38B,porch,,
NY38B,stoop,,
NY38C,porch,,
NY38C,stoop,,
NY39A,porch,,
NY39A,piazza,,
NY39B,piazza,large,
NY39B,stoop,small,
NY39B,porch,,
NY40A,stoop,,
NY40A,piazza,,
NY40A,veranda,bigger [than stoop],
NY40B,porch,,
NY40B,stoop,,
NY41,porch,,
NY41,veranda,wide,
NY41,stoop,,
NY42A,porch,,
NY42A,stoop,,
NY42B,porch,,
